,Activity Date,Activity ID,Activity Name,Activity Type,Elapsed Time,Max Heart Rate,Relative Effort,Elapsed Time.1,Moving Time,Max Heart Rate.1,Average Heart Rate,tavg,tmin,tmax,prcp,wdir,wspd,pres
51,2024-10-04,12661732871,Morning Row,Rowing,5380,201.0,89.0,5380.0,5325.0,201.0,144.7359161376953,50.9,42.1,63.0,0.13,321.0,4.8,1012.0
52,2024-10-15,12662352450,Morning Row,Rowing,4500,188.0,91.0,4500.0,4441.0,188.0,148.41986083984375,58.5,46.9,73.0,0.0,20.0,2.0,1016.6
53,2024-10-16,12669924014,Morning Row,Rowing,4186,180.0,108.0,4186.0,3788.0,180.0,155.25717163085938,55.2,44.1,61.0,0.217,229.0,7.6,1011.7
54,2024-10-17,12678399996,Morning Row,Rowing,4713,181.0,84.0,4713.0,4537.0,181.0,145.56394958496094,49.1,42.1,59.0,0.0,327.0,2.2,1013.3
55,2024-10-15,12678413597,2k @ 28,Rowing,535,191.0,31.0,535.0,535.0,191.0,177.72897338867188,58.5,46.9,73.0,0.0,20.0,2.0,1016.6
56,2024-10-19,12695871331,HEAD OF THE SPOKANE,Rowing,11391,183.0,86.0,11391.0,6008.0,183.0,143.57591247558594,66.0,60.1,73.0,0.0,212.0,8.2,1020.4
57,2024-10-21,12710339011,Morning Row,Rowing,6122,177.0,128.0,6122.0,5825.0,177.0,149.72097778320312,58.1,48.0,72.0,0.236,225.0,8.7,1013.5
58,2024-10-22,12717644958,Morning Row,Rowing,4028,189.0,43.0,4028.0,3971.0,189.0,133.76589965820312,46.6,37.9,55.0,0.0,281.0,3.7,1025.4
59,2024-10-23,12727188966,AT,Rowing,3929,184.0,124.0,3929.0,3929.0,184.0,155.8335418701172,39.6,34.0,48.9,0.0,4.0,2.5,1023.6
60,2024-10-24,12734521662,Morning Row,Rowing,5316,178.0,64.0,5316.0,5121.0,178.0,136.97706604003906,42.4,37.0,50.0,0.0,307.0,3.7,1026.0
61,2024-10-26,12751311140,Morning Row,Rowing,7736,171.0,107.0,7736.0,7421.0,171.0,141.09512329101562,51.1,41.0,66.0,0.0,51.0,3.1,1017.8
62,2024-10-31,12789934218,Morning Row,Rowing,4239,172.0,62.0,4239.0,3767.0,172.0,141.22427368164062,41.7,39.0,46.0,0.291,129.0,4.3,1013.6
63,2024-10-30,12790144528,OYO,Ride,2582,148.0,26.0,2582.0,2582.0,148.0,135.81719970703125,41.5,28.9,54.0,0.0,43.0,2.7,1015.9
64,2024-10-30,12790145060,Morning Elliptical,Elliptical,1512,136.0,6.0,1512.0,1512.0,136.0,127.35581970214844,41.5,28.9,54.0,0.0,43.0,2.7,1015.9
65,2024-10-30,12790145062,Morning Ride,Ride,1506,157.0,37.0,1506.0,1506.0,157.0,150.071044921875,41.5,28.9,54.0,0.0,43.0,2.7,1015.9
66,2024-10-30,12790145401,Morning Row,Rowing,1544,166.0,47.0,1544.0,1544.0,166.0,158.3419647216797,41.5,28.9,54.0,0.0,43.0,2.7,1015.9
67,2024-10-28,12790146726,30’ Test,Rowing,4094,190.0,121.0,4094.0,4094.0,190.0,155.55496215820312,44.2,37.9,51.1,0.0,242.0,4.3,1012.4
68,2024-10-25,12790147219,SS and 3x750m @2k pace,Rowing,5217,188.0,113.0,5217.0,5217.0,188.0,147.13916015625,43.5,36.0,57.0,0.0,14.0,1.5,1021.1
69,2024-11-01,12799117456,Morning Row,Rowing,5882,176.0,106.0,5882.0,5632.0,176.0,145.53517150878906,43.7,39.9,46.0,0.287,83.0,5.7,1009.4
70,2024-11-09,12862745020,2k Prep!,Rowing,5091,185.0,91.0,5091.0,5091.0,185.0,143.9636688232422,40.3,35.1,45.0,0.02,9.0,0.9,1016.6
71,2024-11-06,12862745126,AT,Rowing,3802,187.0,169.0,3802.0,3802.0,187.0,166.7267303466797,34.9,28.0,46.9,0.0,8.0,1.1,1030.7
72,2024-11-08,12862745241,OYO x2 😋,Ride,2659,165.0,44.0,2659.0,2659.0,165.0,144.48777770996094,39.9,30.9,51.1,0.0,5.0,0.4,1023.7
73,2024-11-07,12862746124,OYO,Ride,4286,166.0,88.0,4286.0,4286.0,166.0,147.58282470703125,37.2,30.0,51.1,0.0,8.0,1.6,1030.0
74,2024-11-11,12878743212,Teti’s 20 (3rd time 🔥),Rowing,5508,191.0,203.0,5508.0,5508.0,191.0,161.2274932861328,46.6,42.1,52.0,0.051,234.0,5.3,1006.1
75,2024-11-02,12917733836,Morning Row,Rowing,3388,202.0,100.0,3388.0,3279.0,202.0,157.60079956054688,45.0,43.0,46.9,0.539,252.0,5.8,1006.9
76,2024-11-27,12998040526,yay biking!,Ride,2764,166.0,64.0,2764.0,2764.0,166.0,148.22865295410156,35.1,28.9,37.9,0.0,328.0,3.1,1026.3
77,2024-11-29,13012148164,Tree Hunting,Hike,5820,149.0,9.0,5820.0,2829.0,149.0,110.3170394897461,30.9,30.0,30.9,0.0,245.0,4.3,1024.4
78,2024-11-30,13017582925,Saturday Bike!,Ride,4350,170.0,116.0,4350.0,4350.0,170.0,153.16644287109375,32.4,28.9,36.0,0.0,357.0,0.1,1026.3
79,2024-12-02,13031280473,Christmas-Energized Biking,Ride,2856,176.0,108.0,2856.0,2856.0,176.0,163.686279296875,30.0,27.0,32.0,0.0,353.0,1.2,1031.8
80,2024-12-03,13042334724,Checkpoint C (on berg),Ride,3022,183.0,82.0,3022.0,3022.0,183.0,153.16578674316406,32.0,30.0,33.1,0.0,357.0,1.7,1032.8
81,2024-12-15,13124345187,Walk for Coffee + Crib!!,Walk,12313,,,12313.0,6722.0,,,37.4,32.0,42.1,0.13,234.0,7.1,1020.6
82,2024-12-18,13144310089,Bike + Erg,Ride,4660,175.0,137.0,4660.0,4660.0,175.0,156.15065002441406,46.6,36.0,52.0,0.185,217.0,12.6,1018.5
83,2024-12-20,13157070652,🏃‍♀️ 🏃‍♀️ 🏃‍♀️,Run,1369,,,1369.0,1369.0,,,37.8,33.1,43.0,0.008,15.0,1.1,1023.0
84,2024-12-20,13157082675,walk and talk!,Walk,4255,139.0,14.0,4255.0,4184.0,139.0,115.58995819091795,37.8,33.1,43.0,0.008,15.0,1.1,1023.0
85,2024-12-21,13164789268,yay erg!,Rowing,3512,192.0,158.0,3512.0,3512.0,192.0,168.03416442871094,38.7,35.1,43.0,0.26,346.0,1.2,1017.7
86,2024-12-21,13164789547,gaga class 😏,Workout,3184,163.0,13.0,3184.0,3184.0,163.0,114.65641021728516,38.7,35.1,43.0,0.26,346.0,1.2,1017.7
87,2024-12-24,13183595375,MERRY CHRISTMAS 🎄🎁!!!,Rowing,3353,180.0,137.0,3353.0,3353.0,180.0,164.32955932617188,42.6,39.9,46.0,0.614,300.0,4.0,1012.8
88,2024-12-26,13196704579,humbling 30’ prep,Rowing,3462,187.0,123.0,3462.0,3462.0,187.0,161.05343627929688,41.7,36.0,46.9,0.453,161.0,10.6,1002.9
89,2025-01-06,13281489301,Morning Row,Rowing,2836,187.0,85.0,2836.0,2836.0,187.0,156.034912109375,36.5,34.0,39.9,0.0,354.0,2.5,1033.1
90,2025-01-03,13281489597,Afternoon Row,Rowing,3660,178.0,143.0,3660.0,3660.0,178.0,162.65628051757812,35.6,34.0,37.9,0.563,2.0,0.2,1013.1
91,2024-12-30,13281490366,Morning Row,Rowing,2769,172.0,98.0,2769.0,2769.0,172.0,161.41928100585938,36.1,32.0,39.0,0.339,279.0,4.0,1024.0
92,2024-12-30,13281490427,Morning Stair-Stepper,Stair-Stepper,1202,164.0,32.0,1202.0,1202.0,164.0,153.60897827148438,36.1,32.0,39.0,0.339,279.0,4.0,1024.0
93,2025-01-07,13292965882,30’ test on the berg,Ride,5278,195.0,188.0,5278.0,5278.0,195.0,161.6960906982422,35.8,35.1,37.0,0.0,356.0,0.7,1037.7
94,2025-01-07,13294846958,Afternoon Row,Rowing,5587,182.0,83.0,5587.0,5475.0,182.0,141.1247100830078,35.8,35.1,37.0,0.0,356.0,0.7,1037.7
95,2025-01-10,13318302821,Altitude Training on berg 🥵,Ride,3382,187.0,83.0,3382.0,3382.0,187.0,151.33885192871094,32.5,30.9,34.0,0.063,253.0,5.1,1021.9
96,2025-01-09,13318303584,Stadiums 🏃‍♀️,Workout,1280,184.0,67.0,1280.0,1280.0,184.0,171.8054656982422,34.3,32.0,36.0,0.0,5.0,1.9,1036.2
97,2025-01-09,13318303711,Circuit 💪🏻,Workout,1254,171.0,21.0,1254.0,1254.0,171.0,145.85885620117188,34.3,32.0,36.0,0.0,5.0,1.9,1036.2
98,2025-01-09,13318304129,pilates 🧘‍♀️,Workout,1624,139.0,4.0,1624.0,1624.0,139.0,106.64286041259766,34.3,32.0,36.0,0.0,5.0,1.9,1036.2
99,2025-01-08,13318304135,berg 🚴,Ride,2031,160.0,38.0,2031.0,2031.0,160.0,142.558837890625,34.2,34.0,35.1,0.071,334.0,1.7,1033.7
