Activity Date,Activity ID,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Elapsed Time.1,Moving Time,Max Heart Rate.1,Average Heart Rate
2024-10-04,12661732871,Morning Row,Rowing,5380,"13,620",201.0,89.0,5380.0,5325.0,201.0,144.7359161376953
2024-10-15,12662352450,Morning Row,Rowing,4500,"13,501",188.0,91.0,4500.0,4441.0,188.0,148.41986083984375
2024-10-16,12669924014,Morning Row,Rowing,4186,"11,033",180.0,108.0,4186.0,3788.0,180.0,155.25717163085938
2024-10-17,12678399996,Morning Row,Rowing,4713,"14,816",181.0,84.0,4713.0,4537.0,181.0,145.56394958496094
2024-10-15,12678413597,2k @ 28,Rowing,535,0,191.0,31.0,535.0,535.0,191.0,177.72897338867188
2024-10-19,12695871331,HEAD OF THE SPOKANE,Rowing,11391,"16,385",183.0,86.0,11391.0,6008.0,183.0,143.57591247558594
2024-10-21,12710339011,Morning Row,Rowing,6122,"17,641",177.0,128.0,6122.0,5825.0,177.0,149.72097778320312
2024-10-22,12717644958,Morning Row,Rowing,4028,"10,226",189.0,43.0,4028.0,3971.0,189.0,133.76589965820312
2024-10-23,12727188966,AT,Rowing,3929,0,184.0,124.0,3929.0,3929.0,184.0,155.8335418701172
2024-10-24,12734521662,Morning Row,Rowing,5316,"14,534",178.0,64.0,5316.0,5121.0,178.0,136.97706604003906
2024-10-26,12751311140,Morning Row,Rowing,7736,"21,574",171.0,107.0,7736.0,7421.0,171.0,141.09512329101562
2024-10-31,12789934218,Morning Row,Rowing,4239,"10,873",172.0,62.0,4239.0,3767.0,172.0,141.22427368164062
2024-10-30,12790144528,OYO,Ride,2582,0,148.0,26.0,2582.0,2582.0,148.0,135.81719970703125
2024-10-30,12790145060,Morning Elliptical,Elliptical,1512,0,136.0,6.0,1512.0,1512.0,136.0,127.35581970214844
2024-10-30,12790145062,Morning Ride,Ride,1506,0,157.0,37.0,1506.0,1506.0,157.0,150.071044921875
2024-10-30,12790145401,Morning Row,Rowing,1544,0,166.0,47.0,1544.0,1544.0,166.0,158.3419647216797
2024-10-28,12790146726,30’ Test,Rowing,4094,0,190.0,121.0,4094.0,4094.0,190.0,155.55496215820312
2024-10-25,12790147219,SS and 3x750m @2k pace,Rowing,5217,0,188.0,113.0,5217.0,5217.0,188.0,147.13916015625
2024-11-01,12799117456,Morning Row,Rowing,5882,"16,460",176.0,106.0,5882.0,5632.0,176.0,145.53517150878906
2024-11-09,12862745020,2k Prep!,Rowing,5091,0,185.0,91.0,5091.0,5091.0,185.0,143.9636688232422
2024-11-06,12862745126,AT,Rowing,3802,0,187.0,169.0,3802.0,3802.0,187.0,166.7267303466797
2024-11-08,12862745241,OYO x2 😋,Ride,2659,0,165.0,44.0,2659.0,2659.0,165.0,144.48777770996094
2024-11-07,12862746124,OYO,Ride,4286,0,166.0,88.0,4286.0,4286.0,166.0,147.58282470703125
2024-11-11,12878743212,Teti’s 20 (3rd time 🔥),Rowing,5508,0,191.0,203.0,5508.0,5508.0,191.0,161.2274932861328
2024-11-02,12917733836,Morning Row,Rowing,3388,"10,738",202.0,100.0,3388.0,3279.0,202.0,157.60079956054688
2024-11-27,12998040526,yay biking!,Ride,2764,0,166.0,64.0,2764.0,2764.0,166.0,148.22865295410156
2024-11-29,13012148164,Tree Hunting,Hike,5820,2.70,149.0,9.0,5820.0,2829.0,149.0,110.3170394897461
2024-11-30,13017582925,Saturday Bike!,Ride,4350,0,170.0,116.0,4350.0,4350.0,170.0,153.16644287109375
2024-12-02,13031280473,Christmas-Energized Biking,Ride,2856,0,176.0,108.0,2856.0,2856.0,176.0,163.686279296875
2024-12-03,13042334724,Checkpoint C (on berg),Ride,3022,0,183.0,82.0,3022.0,3022.0,183.0,153.16578674316406
2024-12-15,13124345187,Walk for Coffee + Crib!!,Walk,12313,10.86,,,12313.0,6722.0,,
2024-12-18,13144310089,Bike + Erg,Ride,4660,0,175.0,137.0,4660.0,4660.0,175.0,156.15065002441406
2024-12-20,13157070652,🏃‍♀️ 🏃‍♀️ 🏃‍♀️,Run,1369,3.59,,,1369.0,1369.0,,
2024-12-20,13157082675,walk and talk!,Walk,4255,5.86,139.0,14.0,4255.0,4184.0,139.0,115.58995819091795
2024-12-21,13164789268,yay erg!,Rowing,3512,0,192.0,158.0,3512.0,3512.0,192.0,168.03416442871094
2024-12-21,13164789547,gaga class 😏,Workout,3184,0,163.0,13.0,3184.0,3184.0,163.0,114.65641021728516
2024-12-24,13183595375,MERRY CHRISTMAS 🎄🎁!!!,Rowing,3353,0,180.0,137.0,3353.0,3353.0,180.0,164.32955932617188
2024-12-26,13196704579,humbling 30’ prep,Rowing,3462,0,187.0,123.0,3462.0,3462.0,187.0,161.05343627929688
2025-01-06,13281489301,Morning Row,Rowing,2836,0,187.0,85.0,2836.0,2836.0,187.0,156.034912109375
2025-01-03,13281489597,Afternoon Row,Rowing,3660,0,178.0,143.0,3660.0,3660.0,178.0,162.65628051757812
2024-12-30,13281490366,Morning Row,Rowing,2769,0,172.0,98.0,2769.0,2769.0,172.0,161.41928100585938
2024-12-30,13281490427,Morning Stair-Stepper,Stair-Stepper,1202,0,164.0,32.0,1202.0,1202.0,164.0,153.60897827148438
2025-01-07,13292965882,30’ test on the berg,Ride,5278,0,195.0,188.0,5278.0,5278.0,195.0,161.6960906982422
2025-01-07,13294846958,Afternoon Row,Rowing,5587,"16,114",182.0,83.0,5587.0,5475.0,182.0,141.1247100830078
2025-01-10,13318302821,Altitude Training on berg 🥵,Ride,3382,0,187.0,83.0,3382.0,3382.0,187.0,151.33885192871094
2025-01-09,13318303584,Stadiums 🏃‍♀️,Workout,1280,0,184.0,67.0,1280.0,1280.0,184.0,171.8054656982422
2025-01-09,13318303711,Circuit 💪🏻,Workout,1254,0,171.0,21.0,1254.0,1254.0,171.0,145.85885620117188
2025-01-09,13318304129,pilates 🧘‍♀️,Workout,1624,0,139.0,4.0,1624.0,1624.0,139.0,106.64286041259766
2025-01-08,13318304135,berg 🚴,Ride,2031,0,160.0,38.0,2031.0,2031.0,160.0,142.558837890625
2025-01-08,13318304269,tech on erg,Rowing,3706,0,154.0,12.0,3706.0,3706.0,154.0,109.392333984375
2024-12-27,13318331709,Lunch Hike,Hike,3192,3.95,172.0,25.0,3192.0,3119.0,172.0,129.39987182617188
2025-01-08,13318331860,Afternoon Row,Rowing,6321,"16,912",187.0,99.0,6321.0,6260.0,187.0,142.9749755859375
2025-01-09,13318331903,Afternoon Row,Rowing,6103,"15,048",175.0,70.0,6103.0,5925.0,175.0,135.9996337890625
2025-01-11,13328241479,Morning Row,Rowing,13600,"31,957",203.0,246.0,13600.0,10929.0,203.0,150.1250762939453
2025-01-10,13328521962,Altitude training pt2,Ride,1213,0,187.0,18.0,1213.0,1213.0,187.0,139.4814453125
